time_published,source,url,title,ticker,summary
20251004,CNBC,https://www.cnbc.com/2025/10/04/case-for-investing-abroad-despite-record-us-market-gains.html,Investors may want to consider boosting their exposure abroad — even with U.S. stocks around record highs,QQQ,"""Home bias is about as bad as it's ever been in the United States,"" ETF.com's Dave Nadig told CNBC's ""ETF Edge"" this week."
20251004,CNBC,https://www.cnbc.com/2025/10/04/from-data-to-culture-us-europe-brands-take-on-the-chinese-consumer.html,From data to culture: How international brands are trying to crack the code on the fickle Chinese consumer,QQQ,Western brands are revamping efforts to reach the Chinese consumer despite the economic slowdown.
20251004,CNBC,https://www.cnbc.com/2025/10/03/bitcoin-rallies-to-within-1percent-of-all-time-high-gaining-safe-haven-status-during-shutdown-.html,"Bitcoin rallies to within 1% of all-time high, gaining safe-haven status during shutdown",QQQ,Bitcoin is trading within striking distance of its record price as the U.S. government shutdown enters its third day.
20251003,CNBC,https://www.cnbc.com/2025/10/03/stocks-making-the-biggest-moves-midday-wynn-rcat-sndk-pltr.html,"Stocks making the biggest moves midday: Wynn Resorts, Red Cat, SanDisk, Palantir and more",QQQ,These are the stocks posting the largest moves midday.
20251003,CNBC,https://www.cnbc.com/2025/10/03/fed-goolsbee-rates.html,Chicago Fed President Goolsbee 'a little wary' about cutting interest rates too quickly,QQQ,The central banker indicated that pressure is coming to both sides of the Fed's so-called dual mandate of stable prices and low unemployment.
20251003,CNBC,https://www.cnbc.com/2025/10/03/stocks-making-the-biggest-moves-premarket-gme-usar-amat-z.html,"Stocks making the biggest moves premarket: GameStop, USA Rare Earth, Applied Materials, Zillow and more",QQQ,These are some of the stocks posting the largest moves in premarket trading.
20251003,CNBC,https://www.cnbc.com/2025/10/03/walmart-onepay-is-rolling-out-crypto-to-mobile-banking-app.html,"Walmart-backed fintech OnePay is bringing crypto to its banking app, sources say",QQQ,"The move shows that OnePay, founded by Walmart and venture firm Ribbit Capital in 2021, sees crypto as a core offering as it builds out its ""everything app."""
20251002,CNBC,https://www.cnbc.com/2025/10/02/stocks-making-the-biggest-moves-midday-sbux-fico-achc.html,"Stocks making the biggest moves midday: Starbucks, FICO, Acadia Healthcare & more",QQQ,These are the stocks posting the largest moves midday.
20251002,CNBC,https://www.cnbc.com/2025/10/02/tom-lee-sees-sp-500-topping-7000-by-year-end-says-dont-be-fooled-by-shutdown-calamity-talk.html,"Tom Lee sees S&P 500 topping 7,000 by year-end, says don't be fooled by shutdown calamity talk",QQQ,"""We would not lean bearish because of shutdowns,"" Lee wrote in a note to clients Thursday. ""If stocks are down, we would be dip buyers."""
20251002,CNBC,https://www.cnbc.com/2025/10/02/stocks-making-the-biggest-moves-premarket-oxy-lac-fico.html,"Stocks making the biggest moves premarket: Occidental Petroleum, Lithium Americas, Fair Isaac & more",QQQ,These are the stocks posting the largest moves premarket.
20251002,CNBC,https://www.cnbc.com/2025/10/02/warren-buffett-berkshire-occidental-oxychem.html,"Berkshire Hathaway to buy Occidental's OxyChem for $9.7 billion, in Buffett's biggest deal in three years",QQQ,Warren Buffett is staying active even as he gets ready to hand over the CEO reins at the end of this year.
20251002,CNBC,https://www.cnbc.com/2025/10/02/trump-jr-zach-wilkoff-steve-dismisses-world-liberty-financial-conflict-of-interest-concerns-usd1.html,"Trump Jr. dismisses crypto conflicts of interest, says dad’s not checking blockchain ledgers",QQQ,"Donald Trump Jr. and Zach Witkoff dismissed concerns regarding the project's political ties as ""complete nonsense,"" at a major crypto event in Singapore."
20251002,CNBC,https://www.cnbc.com/2025/10/02/sk-hynix-samsung-shares-openai-stargate-korea.html,"SK Hynix shares hit 25-year high, Samsung also surges as chipmakers partner with OpenAI",QQQ,"The partnership will ""focus on increasing the supply of advanced memory chips essential for next-generation AI and expanding data center capacity in Korea."""
20251001,CNBC,https://www.cnbc.com/2025/10/01/stocks-making-the-biggest-moves-midday-pfe-nke-cag-ctva-geo-rddt.html,"Stocks making the biggest moves midday: Pfizer, Nike, Conagra, Corteva, GEO Group, Tesla, Reddit and more",QQQ,These are some of the stocks posting the largest moves midday.
20251001,CNBC,https://www.cnbc.com/2025/10/01/leon-cooperman-says-weve-reached-the-stage-of-the-bull-market-that-warren-buffett-warned-about.html,Leon Cooperman says we've reached the stage of the bull market that Warren Buffett warned about,QQQ,Leon Cooperman believes we are in the late innings of a bull market where bubbles can form and risks rise.
20251001,CNBC,https://www.cnbc.com/2025/10/01/dollar-falls-on-us-government-shutdown-now-on-pace-for-worst-annual-decline-in-22-years.html,"Dollar claws back losses from U.S. government shutdown, turns slightly higher",QQQ,"The dollar was little changed Wednesday, recovering from earlier declines, as traders weighed the potential fallout from a U.S. government shutdown."
20251001,CNBC,https://www.cnbc.com/2025/10/01/prediction-markets-see-government-shutdown-lasting-nearly-two-weeks.html,Prediction markets see government shutdown lasting nearly two weeks,QQQ,"On Polymarket, traders see the highest likelihood that the government won't reopen until Oct. 15 or later."
20251001,CNBC,https://www.cnbc.com/2025/10/01/stocks-making-biggest-premarket-moves-lithium-americas-aes-nike-and-more.html,"Stocks making the biggest premarket moves: Lithium Americas, AES, Sunrun, Peloton, Nike and more",QQQ,These are some of the stocks posting the largest moves in premarket trading.
20251001,CNBC,https://www.cnbc.com/2025/10/01/bitcoin-rises-as-investors-seek-a-global-safe-haven-amid-shutdown.html,Bitcoin rises as investors seek a global safe haven amid shutdown,QQQ,"Bitcoin ticked higher on Wednesday while stock-linked assets fell after U.S. lawmakers failed to reach a government funding agreement, leading to a shutdown."
20251001,CNBC,https://www.cnbc.com/2025/09/30/warren-buffett-is-reportedly-eyeing-berkshire-hathaways-biggest-deal-in-three-years.html,Warren Buffett is reportedly eyeing Berkshire Hathaway's biggest deal in three years,QQQ,"The potential deal, which could finalize within days per the Journal, could be Berkshire's largest since 2022 when it bought Alleghany for $11.6 billion."
20250930,CNBC,https://www.cnbc.com/2025/09/30/new-signs-of-a-dealmaking-comeback-what-it-means-for-goldman-sachs-investors.html,New signs of a dealmaking comeback: What it means for Goldman Sachs investors,QQQ,Investors got two new reasons to be optimistic about the Club stock this week.
20250930,CNBC,https://www.cnbc.com/2025/09/30/stocks-making-the-biggest-moves-midday-pfe-smtc-spot-path-crwv.html,"Stocks making the biggest moves midday: Pfizer, Semtech, Spotify, UiPath, CoreWeave and more",QQQ,These are the stocks posting the largest moves midday.
20250930,CNBC,https://www.cnbc.com/2025/09/30/one-time-spac-king-palihapitiya-launches-new-blank-check-vehicle-with-plan-to-temper-retail-fervor.html,One-time 'SPAC King' Palihapitiya launches new blank-check vehicle with plan to 'temper' retail fervor,QQQ,"Palihapitiya launched American Exceptionalism Acquisition Corp. A, a $345 million SPAC that he said was more than five times oversubscribed."
20250930,CNBC,https://www.cnbc.com/2025/09/30/stocks-making-the-biggest-premarket-moves-.html,"Stocks making the biggest moves premarket: CoreWeave, Firefly Aerospace, Instacart, Wolfspeed and more",QQQ,These are some of the stocks posting the largest moves in the premarket.
20250930,CNBC,https://www.cnbc.com/2025/09/30/jpmorgan-chase-fully-ai-connected-megabank.html,Here's JPMorgan Chase's blueprint to become the world’s first fully AI-powered megabank,QQQ,"JPMorgan, the world's largest bank by market cap, is being ""fundamentally rewired"" to automate knowledge work across its operations, its data chief says."
20250929,CNBC,https://www.cnbc.com/2025/09/29/jennifer-garners-company-once-upon-a-farm-files-for-ipo.html,Jennifer Garner's baby food company Once Upon a Farm files for IPO on NYSE,QQQ,Jennifer Garner's baby food company Once Upon a Farm files for IPO.
20250929,CNBC,https://www.cnbc.com/2025/09/29/wealthfront-fintech-ipo-filing.html,"Wealthfront files for IPO, joining wave of fintech firms going public in 2025",QQQ,"Wealthfront, the startup that helped popularize the robo-advisor style of automated investing, filed for a U.S. initial public offering Monday."
20250929,CNBC,https://www.cnbc.com/2025/09/29/odds-of-a-government-shutdown-rise-to-70percent-in-prediction-markets.html,Odds of a government shutdown rise to 70% in prediction markets,QQQ,Users on Kalshi and Polymarket upped their bets on a government closure after the Labor Department said it won’t release a key jobs report in a shutdown.
20250929,CNBC,https://www.cnbc.com/2025/09/29/jpmorgan-chase-frank-charlie-javice-sentencing.html,Startup founder Charlie Javice sentenced to 7 years in prison for defrauding JPMorgan Chase,QQQ,"Charlie Javice, founder of college financial aid platform Frank, was arrested in 2023 on charges she defrauded JPMorgan Chase in the sale of the fintech firm."
20250929,CNBC,https://www.cnbc.com/2025/09/29/why-analysts-downgraded-wells-fargo-does-not-change-our-conviction-in-the-stock.html,Why an analyst downgrade of Wells Fargo does not change our conviction in the stock,QQQ,"Morgan Stanley analysts cut Wells Fargo to a hold-equivalent rating from a buy Monday, citing limited upside ahead for shares."
20251005,MarketWatch Top,https://www.marketwatch.com/story/are-we-in-a-reccession-yes-if-you-live-in-one-of-these-22-states-3947b4cd?mod=mw_rss_topstories,Are we in a recession? Yes — if you live in one of these 22 states.,QQQ,"The U.S. economy is very close to falling into a damaging contraction — and many states are already in a recession, according to Mark Zandi, chief economist at Moody’s Analytics."
20251005,MarketWatch Top,https://www.marketwatch.com/story/the-gold-market-is-rarely-wrong-why-stocks-and-bitcoin-are-in-a-danger-zone-2a13c688?mod=mw_rss_topstories,Stocks and bitcoin are running on fumes and FOMO — but here’s how the market can steer clear of a selloff,QQQ,"Trader Jeffrey Bierman says the market can stabilize if fund managers diversify into unloved, cheap sectors"
20251005,MarketWatch Top,https://www.marketwatch.com/story/more-famous-than-warren-buffett-in-decades-past-peter-lynch-of-fidelity-says-its-still-all-about-investing-in-what-you-know-808a7f8f?mod=mw_rss_topstories,"More famous than Warren Buffett in decades past, Peter Lynch of Fidelity says it’s still all about investing in what you know",QQQ,"You should be able to explain in a minute or less — even to an 11-year-old — why you own shares in a company, he says."
20251005,MarketWatch Top,https://www.marketwatch.com/story/how-this-paranoid-columnist-is-defending-his-money-against-a-weaker-dollar-and-higher-inflation-f2e469cf?mod=mw_rss_topstories,How this Wall Street skeptic built a powerful portfolio to combat a weaker dollar and higher inflation,QQQ,"Charlie Garcia makes the case for precious metals, crypto and cash."
20251005,MarketWatch Top,https://www.marketwatch.com/story/im-70-and-have-alzheimers-my-sons-girlfriend-put-750-worth-of-lottery-tickets-on-a-credit-card-i-gave-him-what-can-i-do-3cedab85?mod=mw_rss_topstories,I’m 70 and have Alzheimer’s. My son’s girlfriend put $750 worth of lottery tickets on a credit card I gave him. What can I do?,QQQ,"“I contacted the credit-card company, but was advised they could not reimburse me for the theft.”"
20251005,MarketWatch Top,https://www.marketwatch.com/story/how-one-of-2025s-most-popular-trades-is-boosting-gold-and-bitcoin-and-may-keep-going-during-the-government-shutdown-a9994256?mod=mw_rss_topstories,How one of 2025’s most popular trades is boosting gold and bitcoin — and may keep going during the government shutdown,QQQ,The so-called debasement trade — embraced by individual investors since late 2024 as a hedge to a weaker dollar — could accelerate from here.
20251005,MarketWatch Top,https://www.marketwatch.com/story/i-havent-filed-taxes-in-20-years-im-55-and-about-to-get-laid-off-ive-1-million-in-crypto-am-i-in-big-trouble-01da33d1?mod=mw_rss_topstories,‘I haven’t filed taxes in 20 years’: I’m 55 and about to get laid off. I’ve $1 million in crypto. Am I in big trouble?,QQQ,"“I have $800,000 split across two 401(k) plans and a $69,000 lump-sum pension.”"
20251005,MarketWatch Top,https://www.marketwatch.com/story/the-economic-and-political-climate-makes-me-reluctant-im-80-do-i-dip-into-my-650k-retirement-fund-to-remodel-my-bathroom-3879b1dd?mod=mw_rss_topstories,I’m 80. Is this a good or bad time to dip into my $650K retirement fund to remodel my bathroom?,QQQ,“The economic and political climate makes me reluctant to do so.”
20251005,MarketWatch Top,https://www.marketwatch.com/story/i-wont-let-the-government-walk-all-over-me-the-irs-says-i-owe-14-000-for-not-declaring-my-social-security-what-now-d7ce487a?mod=mw_rss_topstories,"‘I won’t let the government walk all over me’: The IRS says I owe $14,000 for not declaring my Social Security. What now?",QQQ,"“I will take the IRS to court, if I must.”"
