Date,Close,High,Low,Open,Volume
2015-01-02,94.90654754638672,96.06821187254872,94.44556762946662,95.66255432877584,31314600
2015-01-05,93.51441192626952,94.60232511052791,93.24704265690126,94.49168736782464,36521300
2015-01-06,92.2605209350586,93.80941374808206,91.84564182053252,93.65268226339404,66205500
2015-01-07,93.4498519897461,93.6711203866686,92.64774437915813,92.86901981007615,37577400
2015-01-08,95.23846435546876,95.42285352936668,94.14132977898666,94.24274593482934,40212600
2015-01-09,94.6115264892578,95.56114405097236,94.05834492779682,95.53348637969846,41410100
2015-01-12,93.62503051757812,94.89733264542326,93.38531897442036,94.79591649385635,34129800
2015-01-13,93.59735107421876,95.53347218363744,92.84134435775816,94.53775396176404,56162300
2015-01-14,93.0810546875,93.56047769227015,92.2605110800224,92.65695405035386,51354200
2015-01-15,91.87330627441406,93.66190371350632,91.7626685531729,93.51439378584732,51005400
2015-01-16,92.95198822021484,93.07184046386634,91.6059277350709,91.75343764771928,35362200
2015-01-20,93.68955993652344,93.92926442651562,92.46335168127445,93.5143853189178,30964100
2015-01-21,94.16898345947266,94.611527305661,93.08107049800526,93.41297662414756,40128800
2015-01-22,95.91148376464844,96.01289991265992,93.70800024693638,94.53776553339596,40887200
2015-01-23,96.1235580444336,96.41858498294684,95.62569876681803,95.90228256505088,34783000
2015-01-26,96.0128936767578,96.18806829085403,95.52425610480005,96.0128936767578,19960900
2015-01-27,93.52362823486328,94.5562189726761,93.21015816517236,94.50090362143524,45253200
2015-01-28,93.04418182373048,95.12781295235403,93.02574572259005,95.02639681109392,43591700
2015-01-29,93.9384765625,94.11365116251744,92.159093997779,92.9704160299751,46539700
2015-01-30,93.21015167236328,94.57465552456362,93.08107783912769,93.85552787253768,42927600
2015-02-02,94.02147674560548,94.10444976297788,91.96550300698232,93.4222013843748,43624700
2015-02-03,94.92499542236328,94.98953233737728,93.74488781410952,94.36259929124294,30750400
2015-02-04,94.84202575683594,95.46895882513782,94.32572338447198,94.53777727501377,34073200
2015-02-05,95.66256713867188,95.72710405432282,94.84202333939712,95.08172786381706,23605500
2015-02-06,95.08171081542967,96.04054984317604,94.74059019415112,95.8100598951792,34169300
2015-02-09,94.77748107910156,95.22923946318288,94.54699110277495,94.71294416708994,22604700
2015-02-10,96.25260162353516,96.3816754289223,95.15546724374956,95.30298418361764,23686500
2015-02-11,96.60295104980467,96.82421944220675,96.17885036686933,96.36323952153847,20303600
2015-02-12,97.72776794433594,97.76464719141346,97.0823987054722,97.22990865978512,22520300
2015-02-13,98.56673431396484,98.58517041663796,97.81994202678368,98.0043382234932,29030200
2015-02-17,98.65894317626952,98.72348009596072,98.3178154384752,98.56674858156738,17675300
2015-02-18,98.79722595214844,98.85254129509724,98.40999744951948,98.53907127239718,15149600
2015-02-19,99.28587341308594,99.35041033092148,98.70503411856942,98.73269179278516,19828100
2015-02-20,99.94969940185548,100.00501475785325,98.90787997058084,99.221350067229,28336700
2015-02-23,100.05108642578124,100.078751131662,99.6730865200284,99.89435492910312,17868000
2015-02-24,100.12483215332033,100.2446914282154,99.61775848736312,99.92199987333944,19745000
2015-02-25,99.87590789794922,100.36454547177324,99.65463247908936,99.9773240397612,19472300
2015-02-26,100.38298797607422,100.43831035131556,99.70073964272603,99.977330416946,22255500
2015-02-27,99.94044494628906,100.41064641954516,99.78371346653542,100.34610248012233,27757600
2015-03-02,100.84396362304688,100.880842860308,100.1156145136294,100.1340576492576,22988600
2015-03-03,100.3737564086914,100.64112556933334,99.73760195633665,100.53970943826246,20788900
2015-03-04,99.98656463623048,100.18939697272542,99.44261158290034,100.04188702236353,21007400
2015-03-05,100.1617202758789,100.46596872284437,99.74684114565012,100.24470032232205,15381000
2015-03-06,99.02772521972656,100.22626897806838,98.77879208510414,100.03265822558232,30990400
2015-03-09,99.31352996826172,99.56245606739505,98.82489230529885,99.230549912553,26237100
2015-03-10,97.46957397460938,98.63124508705192,97.46957397460938,98.60358038937989,34234500
2015-03-11,96.9072265625,97.73699205834716,96.87034731446263,97.61713274372642,25459700
